Sample,X,Y,Z
625,-0.020,-0.961,0.008
626,-0.016,-0.941,0.027
627,-0.031,-0.926,0.000
628,0.020,-0.938,0.000
629,0.000,-0.938,-0.035
630,0.000,-0.930,0.008
631,0.008,-0.934,0.020
632,0.027,-0.961,0.016
633,0.023,-0.957,-0.008
634,0.004,-0.941,-0.004
635,0.004,-0.926,0.000
636,0.004,-0.949,-0.020
637,0.004,-0.957,-0.020
638,-0.016,-0.938,-0.020
639,-0.012,-0.914,0.020
640,0.012,-0.938,0.027
641,0.016,-0.957,0.016
642,-0.008,-0.953,-0.012
643,-0.004,-0.938,-0.012
644,0.004,-0.938,-0.004
645,0.008,-0.953,0.000
646,-0.016,-0.953,-0.012
647,-0.012,-0.930,0.008
648,0.008,-0.926,0.039
649,0.008,-0.961,0.020
650,0.012,-0.930,0.000
651,-0.012,-0.934,0.016
652,-0.016,-0.941,-0.059
653,-0.023,-0.945,-0.004
654,-0.004,-0.957,-0.023
655,-0.012,-0.934,0.000
656,-0.004,-0.938,0.012
657,0.008,-0.949,0.016
658,0.016,-0.953,0.023
659,0.008,-0.938,0.027
660,0.000,-0.941,0.008
661,-0.004,-0.945,-0.004
662,0.004,-0.949,-0.004
663,-0.008,-0.926,0.004
664,-0.004,-0.941,0.008
665,-0.004,-0.934,0.016
666,0.000,-0.945,0.023
667,0.004,-0.938,0.043
668,-0.004,-0.945,0.016
669,-0.008,-0.953,0.008
670,-0.004,-0.945,-0.004
671,-0.016,-0.941,-0.004
672,0.008,-0.938,0.016
673,-0.023,-0.938,0.027
674,-0.023,-0.938,0.027
675,-0.016,-0.953,0.039
676,0.004,-0.918,-0.012
677,0.004,-0.941,0.035
678,0.016,-0.953,-0.008
679,-0.004,-0.953,0.008
680,-0.016,-0.934,0.000
681,-0.012,-0.941,0.000
682,-0.016,-0.953,0.012
683,-0.008,-0.934,0.027
684,0.004,-0.934,0.051
685,-0.008,-0.945,0.027
686,-0.004,-0.949,0.023
687,-0.004,-0.941,0.012
688,-0.012,-0.945,0.008
689,-0.016,-0.938,0.004
690,-0.023,-0.949,-0.004
691,-0.012,-0.938,0.031
692,-0.012,-0.941,0.039
693,-0.004,-0.941,0.051
694,-0.008,-0.941,0.039
695,-0.008,-0.949,0.035
696,-0.004,-0.938,0.031
697,0.008,-0.965,0.020
698,0.008,-0.965,0.020
699,-0.027,-0.934,-0.016
700,0.004,-0.938,-0.016
701,-0.012,-0.934,0.043
702,-0.012,-0.926,0.004
703,0.000,-0.938,0.043
704,-0.004,-0.941,0.035
705,0.000,-0.953,0.020
706,-0.012,-0.941,0.008
707,-0.008,-0.934,0.008
708,-0.020,-0.945,0.000
709,-0.012,-0.926,0.027
710,-0.004,-0.941,0.027
711,-0.008,-0.941,0.051
712,-0.008,-0.934,0.027
713,-0.008,-0.949,0.023
714,-0.004,-0.941,0.023
715,-0.012,-0.934,0.008
716,-0.008,-0.930,0.020
717,-0.012,-0.945,0.020
718,-0.016,-0.945,0.020
719,-0.008,-0.938,0.035
720,0.004,-0.949,0.031
721,0.016,-0.945,0.039
722,0.016,-0.945,0.039
723,0.023,-0.953,0.027
724,-0.012,-0.949,-0.016
725,-0.035,-0.934,0.012
726,-0.035,-0.965,-0.012
727,0.004,-0.934,0.016
728,-0.008,-0.930,0.023
729,-0.016,-0.934,0.035
730,0.000,-0.930,0.039
731,0.004,-0.969,0.027
732,-0.012,-0.953,0.023
733,-0.012,-0.934,0.008
734,-0.012,-0.938,0.016
735,0.008,-0.934,0.031
736,-0.012,-0.953,0.020
737,-0.016,-0.941,0.020
738,-0.004,-0.930,0.027
739,0.004,-0.941,0.035
740,0.012,-0.945,0.039
741,0.000,-0.945,0.016
742,-0.012,-0.922,0.016
743,0.000,-0.945,0.012
744,-0.008,-0.945,0.012
745,-0.020,-0.945,0.000
746,0.004,-0.934,0.012
747,0.012,-0.961,0.016
748,0.027,-0.961,0.051
749,0.008,-0.969,0.062
750,-0.031,-0.930,0.000
751,-0.008,-0.941,0.012
752,0.004,-0.941,0.020
753,0.000,-0.938,0.023
754,-0.008,-0.945,0.008
755,-0.008,-0.926,0.027
756,0.008,-0.945,0.035
757,0.008,-0.949,0.043
758,0.008,-0.945,0.020
759,0.000,-0.949,-0.004
760,0.008,-0.930,0.000
761,0.008,-0.949,0.004
762,-0.004,-0.938,0.012
763,0.004,-0.938,0.016
764,0.000,-0.938,0.023
765,0.004,-0.938,0.016
766,0.008,-0.945,0.020
767,-0.004,-0.938,0.004
768,-0.008,-0.941,-0.008
769,0.004,-0.949,-0.016
770,-0.012,-0.945,-0.047
771,0.016,-0.938,0.012
772,0.000,-0.941,0.043
773,0.000,-0.926,0.039
774,0.008,-0.941,0.035
775,0.012,-0.957,0.004
776,0.008,-0.953,-0.008
777,0.000,-0.941,0.000
778,0.008,-0.934,0.000
779,0.008,-0.945,0.012
780,0.016,-0.945,0.012
781,-0.004,-0.926,0.016
782,0.008,-0.934,0.023
783,0.016,-0.945,0.020
